Region,Country,Brand,Model,Type,Seats,Doors,Year,Transmission,Fuel Type,Volume,Coverage
Europe,AUT,Toyota,Camry,Sedan,5,4,2004,Automatic,Petrol/ Hybrid,4135708.00,66
Europe,AUT,Toyota,RAV4,SUV,5,5,2020,Manual/ Automatic,Petrol/ Hybrid,1134492.00,80
Europe,AUT,Toyota,Highlander,SUV,7,4,2006,Automatic,Hybrid,8290310.00,56
Europe,AUT,Toyota,Land Cruiser,SUV,7,4,2022,Automatic,Diesel,8810630.00,96
Europe,AUT,Volkswagen,up!,Hatchback,4,5,2014,Manual,Petrol,8888586.00,73
Europe,AUT,Volkswagen,Polo,Hatchback,5,5,2003,Manual/Auto,Petrol/Diesel,2674116.00,78
Europe,AUT,Volkswagen,Golf,Hatchback,5,5,2013,Manual/Auto,Petrol/Diesel,9093951.00,97
Europe,AUT,Volkswagen,Golf Sportsvan,MPV,5,5,2005,Manual/Auto,Petrol/Diesel,4704423.00,99
Europe,AUT,Volkswagen,T-Cross,SUV,5,5,2011,Manual/Auto,Petrol/Diesel,4103434.00,68
Europe,AUT,Volkswagen,T-Roc,SUV,5,5,2006,Manual/Auto,Petrol/Diesel,9116919.00,88
Europe,AUT,Volkswagen,Tiguan,SUV,7,5,2021,Manual/Auto,Petrol/Diesel,2593844.00,70
Europe,AUT,Volkswagen,Tiguan Allspace,SUV,7,5,2023,Manual/Auto,Petrol/Diesel,1988731.00,77
Europe,AUT,Volkswagen,Touareg,SUV,5,5,2023,Auto,Diesel,9884716.00,67
Europe,AUT,Volkswagen,Arteon,Sedan,5,5,2021,Manual/Auto,Petrol/Diesel,3672286.00,91
Europe,AUT,Volkswagen,Passat,Sedan/Station Wagon,5,5,2000,Manual/Auto,Petrol/Diesel,1593111.00,85
Europe,AUT,Volkswagen,Passat Variant,Station Wagon,5,5,2001,Manual/Auto,Petrol/Diesel,6962582.00,81
Europe,AUT,Volkswagen,e-up!,Hatchback,4,5,2008,Auto,Electric,5823129.00,83
Europe,AUT,Volkswagen,e-Golf,Hatchback,5,5,2012,Auto,Electric,6590862.00,78
Europe,AUT,Volkswagen,Golf GTE,Hatchback,5,5,2014,Auto,Hybrid,3491150.00,67
Europe,AUT,Volkswagen,Passat GTE,Sedan/Station Wagon,5,5,2017,Auto,Hybrid,7533678.00,52
Europe,AUT,Volkswagen,Touareg R,SUV,5,5,2006,Auto,Hybrid,1137372.00,74
Europe,AUT,Volvo,XC40,SUV,5,5,2013,Manual/Auto,Petrol/Diesel/Hybrid,5012437.00,77
Europe,AUT,Volvo,XC60,SUV,5,5,2022,Auto,Petrol/Diesel/Hybrid,7021823.00,73
Europe,AUT,Volvo,XC90,SUV,7,5,2013,Auto,Petrol/Diesel/Hybrid,435700.00,86
Europe,AUT,Volvo,V40,Hatchback,5,5,2007,Manual/Auto,Petrol/Diesel,9721055.00,75
Europe,AUT,Volvo,V40 Cross Country,Hatchback,5,5,2014,Manual/Auto,Petrol/Diesel,4902937.00,56
Europe,AUT,Volvo,S60,Sedan,5,4,2010,Auto,Petrol/Hybrid,5124527.00,75
Europe,AUT,Volvo,S90,Sedan,5,4,2003,Auto,Petrol/Hybrid,4660532.00,56
Europe,AUT,Volvo,V60,Station Wagon,5,5,2019,Manual/Auto,Petrol/Diesel/Hybrid,8914744.00,93
Europe,AUT,Volvo,V90,Station Wagon,5,5,2020,Auto,Petrol/Hybrid,6061245.00,63
Europe,AUT,Volvo,V90 Cross Country,Station Wagon,5,5,2022,Auto,Petrol/Hybrid,9195340.00,94
Europe,AUT,Volvo,C40 Recharge,SUV-Coupe,5,5,2007,Auto,Electric,55842.00,56
Europe,AUT,Volvo,XC40 Recharge,SUV,5,5,2004,Auto,Electric,4000635.00,70
Europe,AUT,Volvo,XC60 Recharge,SUV,5,5,2014,Auto,Hybrid/Electric,815913.00,72
Europe,AUT,Volvo,XC90 Recharge,SUV,7,5,2017,Auto,Hybrid/Electric,9245094.00,77
Europe,AUT,Volvo,S60 Recharge,Sedan,5,4,2010,Auto,Hybrid/Electric,8417014.00,80
Europe,AUT,Volvo,S90 Recharge,Sedan,5,4,2015,Auto,Hybrid/Electric,4608779.00,91
Europe,AUT,Volvo,V60 Recharge,Station Wagon,5,5,2007,Auto,Hybrid/Electric,8475985.00,67
Europe,AUT,Volvo,V90 Recharge,Station Wagon,5,5,2015,Auto,Hybrid/Electric,7521674.00,69
Europe,BEL,Audi,A1,Hatchback,4,3,2001,Manual,Gasoline,4859811.00,75
Europe,BEL,Audi,A3,Sedan,5,4,2018,Automatic,Gasoline/Diesel,6005549.00,73
Europe,BEL,Audi,A4,Sedan,5,4,2022,Automatic,Gasoline/Diesel,4116870.00,73
Europe,BEL,Audi,A5,Coupe,4,2,2014,Automatic,Gasoline/Diesel,2753059.00,96
Europe,BEL,Audi,A6,Sedan,5,4,2006,Automatic,Gasoline/Diesel,9210409.00,57
Europe,BEL,Audi,Q2,SUV,5,5,2000,Automatic,Gasoline/Diesel,4970880.00,90
Europe,BEL,Audi,Q3,SUV,5,5,2007,Automatic,Gasoline/Diesel,8829520.00,59
Europe,BEL,Audi,Q5,SUV,5,5,2003,Automatic,Gasoline/Diesel,996209.00,63
Europe,BEL,Audi,Q7,SUV,7,4,2005,Automatic,Gasoline/Diesel,2653957.00,75
Europe,BEL,BMW,1 Series,Hatchback,5,5,2009,Manual,Gasoline/Diesel,9397243.00,95
Europe,BEL,BMW,2 Series,Coupe,4,2,2000,Automatic,Gasoline/Diesel,129904.00,88
Europe,BEL,BMW,3 Series,Sedan,5,4,2018,Automatic,Gasoline/Diesel,4969381.00,99
Europe,BEL,BMW,4 Series,Coupe,4,2,2011,Automatic,Gasoline/Diesel,973910.00,53
Europe,BEL,BMW,5 Series,Sedan,5,4,2021,Automatic,Gasoline/Diesel,6853233.00,68
Europe,BEL,BMW,7 Series,Sedan,5,4,2018,Automatic,Gasoline/Diesel,2310893.00,88
Europe,BEL,Ford,Fiesta,Hatchback,5,5,2009,Manual,Gasoline,8824318.00,95
Europe,BEL,Ford,Focus,Hatchback,5,5,2013,Automatic,Gasoline/Diesel,340829.00,61
Europe,BEL,Ford,Mondeo,Sedan,5,4,2010,Automatic,Gasoline/Diesel,3343845.00,54
Europe,BEL,Ford,Kuga,SUV,5,5,2012,Automatic,Gasoline/Diesel,4514571.00,86
Europe,BEL,Mercedes-Benz,A-Class,Hatchback,5,5,2011,Automatic,Gasoline/Diesel,6571658.00,73
Europe,BEL,Mercedes-Benz,C-Class,Sedan,5,4,2007,Automatic,Gasoline/Diesel,8660535.00,95
Europe,BEL,Mercedes-Benz,E-Class,Sedan,5,4,2011,Automatic,Gasoline/Diesel,8481352.00,93
Europe,BEL,Mercedes-Benz,S-Class,Sedan,5,4,2021,Automatic,Gasoline/Diesel,9278805.00,57
Europe,BEL,Mercedes-Benz,GLA-Class,SUV,5,5,2016,Automatic,Gasoline/Diesel,3029278.00,66
Europe,BEL,Mercedes-Benz,GLC-Class,SUV,5,5,2002,Automatic,Gasoline/Diesel,3013752.00,50
Europe,BEL,Opel,Corsa,Hatchback,5,5,2005,Manual,Gasoline/ Diesel,3182712.00,71
Europe,BEL,Opel,Astra,Hatchback/ Wagon/ Sedan,5,5,2003,Manual/ Automatic,Gasoline/ Diesel,1738134.00,69
Europe,BEL,Opel,Insignia,Hatchback/ Wagon/ Sedan,5,5,2020,Manual/ Automatic,Gasoline/ Diesel,3617848.00,94
Europe,BEL,Peugeot,208,Hatchback,5,3,2013,Manual/ Automatic,Gasoline/ Diesel,2216042.00,67
Europe,BEL,Peugeot,308,Hatchback/ Wagon,5,5,2010,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,3119067.00,73
Europe,BEL,Peugeot,2008,SUV,5,5,2003,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,3274226.00,87
Europe,BEL,Renault,Clio,Hatchback,5,5,2014,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,9668726.00,81
Europe,BEL,Renault,Megane,Hatchback/ Wagon/ Sedan,5,5,2019,Manual/ Automatic,Gasoline/ Diesel,9594946.00,79
Europe,BEL,Renault,Captur,SUV,5,5,2002,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,4206405.00,52
Europe,BEL,Seat,Ibiza,Hatchback,5,3,2021,Manual/ Automatic,Gasoline/ Natural Gas,4888540.00,99
Europe,BEL,Seat,Leon,Hatchback/ Wagon/ Sedan,5,5,2004,Manual/ Automatic,Gasoline/ Diesel/ Natural Gas,8297045.00,57
Europe,BEL,Seat,Ateca,SUV,5,5,2014,Manual/ Automatic,Gasoline/ Diesel/ Plug-in Hybrid,4921746.00,90
Europe,BEL,Skoda,Fabia,Hatchback,5,5,2022,Manual,Petrol/ Diesel,8124694.00,65
Europe,BEL,Skoda,Octavia,Sedan/ Estate,5,4,2007,Manual/ Automatic,Petrol/ Diesel/ Hybrid,7814539.00,79
Europe,BEL,Skoda,Superb,Sedan/ Estate,5,4,2016,Manual/ Automatic,Petrol/ Diesel/ Hybrid,3943128.00,81
Europe,BEL,Smart,Fortwo,Coupe/ Cabrio,2,2,2005,Automatic,Electric,9767751.00,95
Europe,BEL,Smart,Forfour,Hatchback,4,5,2014,Automatic,Electric,607818.00,85
Europe,BEL,Subaru,Impreza,Hatchback,5,5,2001,Manual/ Automatic,Petrol,5491021.00,81
Europe,BEL,Subaru,Legacy,Sedan/ Estate,5,4,2008,Manual/ Automatic,Petrol,7011075.00,76
Europe,BEL,Subaru,Outback,SUV,5,5,2006,Automatic,Petrol,7151073.00,85
Europe,BEL,Suzuki,Swift,Hatchback,5,5,2012,Manual/ Automatic,Petrol/ Hybrid,8797314.00,80
Europe,BEL,Suzuki,Ignis,SUV,4,5,2023,Manual/ Automatic,Petrol/ Hybrid,8810879.00,73
Europe,BEL,Suzuki,Vitara,SUV,5,5,2013,Manual/ Automatic,Petrol/ Hybrid,5799911.00,89
Europe,BEL,Tesla,Model 3,Sedan,5,4,2002,Automatic,Electric,6220650.00,70
Europe,BEL,Tesla,Model S,Sedan,5,4,2023,Automatic,Electric,7022712.00,73
Europe,BEL,Tesla,Model X,SUV,7,4,2022,Automatic,Electric,4962523.00,74
Europe,BEL,Tesla,Model Y,SUV,7,4,2006,Automatic,Electric,4156442.00,60
Europe,BEL,Toyota,Aygo,Hatchback,4,5,2023,Manual/ Automatic,Petrol,5380740.00,64
Europe,BEL,Toyota,Yaris,Hatchback,5,5,2008,Manual/ Automatic,Petrol/ Hybrid,5847966.00,53
Europe,BEL,Toyota,Corolla,Sedan/ Hatchback/ Estate,5,4,2009,Manual/ Automatic,Petrol/ Hybrid,5352088.00,67
Europe,BEL,Toyota,Camry,Sedan,5,4,2022,Automatic,Petrol/ Hybrid,1771675.00,60
Europe,BEL,Toyota,RAV4,SUV,5,5,2023,Manual/ Automatic,Petrol/ Hybrid,5870310.00,84
Europe,BEL,Toyota,Highlander,SUV,7,4,2006,Automatic,Hybrid,4598088.00,74
Europe,BEL,Toyota,Land Cruiser,SUV,7,4,2006,Automatic,Diesel,6940490.00,84
Europe,BEL,Volkswagen,up!,Hatchback,4,5,2000,Manual,Petrol,3880829.00,94
Europe,BEL,Volkswagen,Polo,Hatchback,5,5,2011,Manual/Auto,Petrol/Diesel,2726696.00,65
Europe,BEL,Volkswagen,Golf,Hatchback,5,5,2011,Manual/Auto,Petrol/Diesel,5941243.00,51
Europe,BEL,Volkswagen,Golf Sportsvan,MPV,5,5,2002,Manual/Auto,Petrol/Diesel,3491473.00,79
Europe,BEL,Volkswagen,T-Cross,SUV,5,5,2009,Manual/Auto,Petrol/Diesel,2073395.00,64
Europe,BEL,Volkswagen,T-Roc,SUV,5,5,2017,Manual/Auto,Petrol/Diesel,5748618.00,52
Europe,BEL,Volkswagen,Tiguan,SUV,7,5,2001,Manual/Auto,Petrol/Diesel,4619944.00,68
Europe,BEL,Volkswagen,Tiguan Allspace,SUV,7,5,2021,Manual/Auto,Petrol/Diesel,6841533.00,92
Europe,BEL,Volkswagen,Touareg,SUV,5,5,2018,Auto,Diesel,2148145.00,84
Europe,BEL,Volkswagen,Arteon,Sedan,5,5,2002,Manual/Auto,Petrol/Diesel,9297859.00,75
Europe,BEL,Volkswagen,Passat,Sedan/Station Wagon,5,5,2022,Manual/Auto,Petrol/Diesel,854991.00,54
Europe,BEL,Volkswagen,Passat Variant,Station Wagon,5,5,2001,Manual/Auto,Petrol/Diesel,2161425.00,64
Europe,BEL,Volkswagen,e-up!,Hatchback,4,5,2021,Auto,Electric,2950975.00,54
Europe,BEL,Volkswagen,e-Golf,Hatchback,5,5,2009,Auto,Electric,720659.00,52
Europe,BEL,Volkswagen,Golf GTE,Hatchback,5,5,2021,Auto,Hybrid,6813138.00,62
Europe,BEL,Volkswagen,Passat GTE,Sedan/Station Wagon,5,5,2009,Auto,Hybrid,9427857.00,97
Europe,BEL,Volkswagen,Touareg R,SUV,5,5,2005,Auto,Hybrid,3676642.00,84
Europe,BEL,Volvo,XC40,SUV,5,5,2014,Manual/Auto,Petrol/Diesel/Hybrid,3577655.00,72
Europe,BEL,Volvo,XC60,SUV,5,5,2001,Auto,Petrol/Diesel/Hybrid,4758014.00,70
Europe,BEL,Volvo,XC90,SUV,7,5,2006,Auto,Petrol/Diesel/Hybrid,3014831.00,100
Europe,BEL,Volvo,V40,Hatchback,5,5,2017,Manual/Auto,Petrol/Diesel,5981805.00,95
Europe,BEL,Volvo,V40 Cross Country,Hatchback,5,5,2010,Manual/Auto,Petrol/Diesel,5518012.00,54
Europe,BEL,Volvo,S60,Sedan,5,4,2008,Auto,Petrol/Hybrid,5576422.00,86
Europe,BEL,Volvo,S90,Sedan,5,4,2011,Auto,Petrol/Hybrid,1241595.00,89
Europe,BEL,Volvo,V60,Station Wagon,5,5,2020,Manual/Auto,Petrol/Diesel/Hybrid,1358151.00,92
Europe,BEL,Volvo,V90,Station Wagon,5,5,2018,Auto,Petrol/Hybrid,9245215.00,98
Europe,BEL,Volvo,V90 Cross Country,Station Wagon,5,5,2009,Auto,Petrol/Hybrid,203800.00,96
Europe,BEL,Volvo,C40 Recharge,SUV-Coupe,5,5,2006,Auto,Electric,8127618.00,54
Europe,BEL,Volvo,XC40 Recharge,SUV,5,5,2017,Auto,Electric,9914067.00,88
Europe,BEL,Volvo,XC60 Recharge,SUV,5,5,2020,Auto,Hybrid/Electric,6561551.00,87
Europe,BEL,Volvo,XC90 Recharge,SUV,7,5,2002,Auto,Hybrid/Electric,9661831.00,92
Europe,BEL,Volvo,S60 Recharge,Sedan,5,4,2019,Auto,Hybrid/Electric,3259233.00,98
Europe,BEL,Volvo,S90 Recharge,Sedan,5,4,2007,Auto,Hybrid/Electric,9404617.00,82
Europe,BEL,Volvo,V60 Recharge,Station Wagon,5,5,2018,Auto,Hybrid/Electric,1143486.00,75
Europe,BEL,Volvo,V90 Recharge,Station Wagon,5,5,2000,Auto,Hybrid/Electric,8013637.00,97
Europe,BGR,Audi,A1,Hatchback,4,3,2018,Manual,Gasoline,32450.00,61
Europe,BGR,Audi,A3,Sedan,5,4,2016,Automatic,Gasoline/Diesel,3377997.00,64
Europe,BGR,Audi,A4,Sedan,5,4,2003,Automatic,Gasoline/Diesel,6441843.00,66
Europe,BGR,Audi,A5,Coupe,4,2,2003,Automatic,Gasoline/Diesel,3046104.00,57
Europe,BGR,Audi,A6,Sedan,5,4,2002,Automatic,Gasoline/Diesel,6768712.00,90
Europe,BGR,Audi,Q2,SUV,5,5,2000,Automatic,Gasoline/Diesel,4096064.00,62
Europe,BGR,Audi,Q3,SUV,5,5,2023,Automatic,Gasoline/Diesel,8741745.00,97
Europe,BGR,Audi,Q5,SUV,5,5,2011,Automatic,Gasoline/Diesel,3038855.00,54
Europe,BGR,Audi,Q7,SUV,7,4,2009,Automatic,Gasoline/Diesel,1245824.00,61
Europe,BGR,BMW,1 Series,Hatchback,5,5,2003,Manual,Gasoline/Diesel,5871488.00,51
Europe,BGR,BMW,2 Series,Coupe,4,2,2018,Automatic,Gasoline/Diesel,1388314.00,98
Europe,BGR,BMW,3 Series,Sedan,5,4,2012,Automatic,Gasoline/Diesel,6271900.00,95
Europe,BGR,BMW,4 Series,Coupe,4,2,2014,Automatic,Gasoline/Diesel,416158.00,78
Europe,BGR,BMW,5 Series,Sedan,5,4,2015,Automatic,Gasoline/Diesel,2974303.00,90
Europe,BGR,BMW,7 Series,Sedan,5,4,2002,Automatic,Gasoline/Diesel,7144996.00,84
Europe,BGR,Ford,Fiesta,Hatchback,5,5,2005,Manual,Gasoline,9860107.00,84
Europe,BGR,Ford,Focus,Hatchback,5,5,2005,Automatic,Gasoline/Diesel,850641.00,58
Europe,BGR,Ford,Mondeo,Sedan,5,4,2002,Automatic,Gasoline/Diesel,2659445.00,80
Europe,BGR,Ford,Kuga,SUV,5,5,2016,Automatic,Gasoline/Diesel,6306032.00,88
Europe,BGR,Mercedes-Benz,A-Class,Hatchback,5,5,2010,Automatic,Gasoline/Diesel,8057486.00,97
Europe,BGR,Mercedes-Benz,C-Class,Sedan,5,4,2012,Automatic,Gasoline/Diesel,55073.00,62
Europe,BGR,Mercedes-Benz,E-Class,Sedan,5,4,2016,Automatic,Gasoline/Diesel,3648773.00,78
Europe,BGR,Mercedes-Benz,S-Class,Sedan,5,4,2000,Automatic,Gasoline/Diesel,3196637.00,96
Europe,BGR,Mercedes-Benz,GLA-Class,SUV,5,5,2015,Automatic,Gasoline/Diesel,4951832.00,73
Europe,BGR,Mercedes-Benz,GLC-Class,SUV,5,5,2010,Automatic,Gasoline/Diesel,7932646.00,79
Europe,BGR,Opel,Corsa,Hatchback,5,5,2013,Manual,Gasoline/ Diesel,2316857.00,85
Europe,BGR,Opel,Astra,Hatchback/ Wagon/ Sedan,5,5,2004,Manual/ Automatic,Gasoline/ Diesel,5309149.00,73
Europe,BGR,Opel,Insignia,Hatchback/ Wagon/ Sedan,5,5,2016,Manual/ Automatic,Gasoline/ Diesel,4955887.00,99
Europe,BGR,Peugeot,208,Hatchback,5,3,2006,Manual/ Automatic,Gasoline/ Diesel,1191264.00,93
Europe,BGR,Peugeot,308,Hatchback/ Wagon,5,5,2008,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,8221168.00,76
Europe,BGR,Peugeot,2008,SUV,5,5,2013,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,1750446.00,60
Europe,BGR,Renault,Clio,Hatchback,5,5,2012,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,7144081.00,88
Europe,BGR,Renault,Megane,Hatchback/ Wagon/ Sedan,5,5,2012,Manual/ Automatic,Gasoline/ Diesel,4583582.00,52
Europe,BGR,Renault,Captur,SUV,5,5,2000,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,2238241.00,93
Europe,BGR,Seat,Ibiza,Hatchback,5,3,2007,Manual/ Automatic,Gasoline/ Natural Gas,5235761.00,60
Europe,BGR,Seat,Leon,Hatchback/ Wagon/ Sedan,5,5,2013,Manual/ Automatic,Gasoline/ Diesel/ Natural Gas,9298668.00,84
Europe,BGR,Seat,Ateca,SUV,5,5,2005,Manual/ Automatic,Gasoline/ Diesel/ Plug-in Hybrid,3596195.00,55
Europe,BGR,Skoda,Fabia,Hatchback,5,5,2008,Manual,Petrol/ Diesel,7221231.00,73
Europe,BGR,Skoda,Octavia,Sedan/ Estate,5,4,2020,Manual/ Automatic,Petrol/ Diesel/ Hybrid,8166631.00,85
Europe,BGR,Skoda,Superb,Sedan/ Estate,5,4,2006,Manual/ Automatic,Petrol/ Diesel/ Hybrid,1904031.00,94
Europe,BGR,Smart,Fortwo,Coupe/ Cabrio,2,2,2011,Automatic,Electric,4452820.00,53
Europe,BGR,Smart,Forfour,Hatchback,4,5,2002,Automatic,Electric,631308.00,89
Europe,BGR,Subaru,Impreza,Hatchback,5,5,2003,Manual/ Automatic,Petrol,5562295.00,54
Europe,BGR,Subaru,Legacy,Sedan/ Estate,5,4,2003,Manual/ Automatic,Petrol,9792348.00,61
Europe,BGR,Subaru,Outback,SUV,5,5,2017,Automatic,Petrol,6629288.00,53
Europe,BGR,Suzuki,Swift,Hatchback,5,5,2022,Manual/ Automatic,Petrol/ Hybrid,1984256.00,52
Europe,BGR,Suzuki,Ignis,SUV,4,5,2010,Manual/ Automatic,Petrol/ Hybrid,3065112.00,54
Europe,BGR,Suzuki,Vitara,SUV,5,5,2001,Manual/ Automatic,Petrol/ Hybrid,6917743.00,79
Europe,BGR,Tesla,Model 3,Sedan,5,4,2003,Automatic,Electric,2068496.00,93
Europe,BGR,Tesla,Model S,Sedan,5,4,2013,Automatic,Electric,4117063.00,67
Europe,BGR,Tesla,Model X,SUV,7,4,2019,Automatic,Electric,7201128.00,95
Europe,BGR,Tesla,Model Y,SUV,7,4,2007,Automatic,Electric,6777060.00,82
Europe,BGR,Toyota,Aygo,Hatchback,4,5,2010,Manual/ Automatic,Petrol,4324251.00,67
Europe,BGR,Toyota,Yaris,Hatchback,5,5,2021,Manual/ Automatic,Petrol/ Hybrid,715353.00,65
Europe,BGR,Toyota,Corolla,Sedan/ Hatchback/ Estate,5,4,2018,Manual/ Automatic,Petrol/ Hybrid,1177105.00,67
Europe,BGR,Toyota,Camry,Sedan,5,4,2018,Automatic,Petrol/ Hybrid,2201094.00,77
Europe,BGR,Toyota,RAV4,SUV,5,5,2014,Manual/ Automatic,Petrol/ Hybrid,2804814.00,51
